"","Z","Y","C"
"1023",49,6,1
"1024",25,7,0
"1025",50,7,1
"1026",8,7,0
"1027",27,7,0
"1028",50,7,1
"1029",10,7,0
"1030",32,7,0
"1031",42,7,0
"1032",50,7,0
"1033",50,7,1
"1034",49,7,0
"1035",50,7,1
"1036",36,7,0
"1037",24,7,0
"1038",50,7,1
"1039",38,7,0
"1040",50,7,0
"1041",34,7,0
"1042",21,7,0
"1043",23,8,0
"1044",44,7,0
"1045",40,7,0
"1046",50,7,1
"1047",20,7,0
"1048",50,7,1
"1049",50,7,1
"1050",47,7,0
"1051",50,7,1
"1052",36,7,0
"1053",50,7,1
"1054",42,7,0
"1055",38,19,0
"1056",43,19,0
"1057",27,19,0
"1058",61,18,1
"1059",61,18,1
"1060",61,18,1
"1061",34,18,0
"1062",28,18,0
"1063",21,18,0
"1064",61,18,1
"1065",58,18,0
"1066",27,18,0
"1067",61,18,1
"1068",44,6,0
"1069",25,6,0
"1070",49,6,1
"1071",10,6,0
"1072",49,6,1
"1073",45,6,0
"1074",25,5,0
"1075",30,6,0
"1076",44,6,0
"1077",49,6,1
"1078",36,6,0
"1079",49,7,0
"1080",49,6,1
"1081",49,6,1
"1082",12,6,0
"1083",9,6,0
"1084",31,7,0
"1085",40,7,0
"1086",49,6,1
"1087",15,6,0
"1088",18,6,0
"1089",50,7,1
"1090",49,7,0
"1091",50,7,1
"1092",24,7,0
"1093",49,6,1
"1094",8,7,0
"1095",17,7,0
"1096",25,7,0
"1097",50,7,1
"1098",27,7,0
"1099",49,7,0
"1100",50,7,1
"1101",48,7,0
"1102",50,7,1
"1103",40,7,0
"1104",49,7,0
"1105",44,7,0
"1106",21,7,0
"1107",42,7,0
"1108",50,7,1
"1109",50,7,1
"1110",50,7,1
"1111",13,7,0
"1112",50,7,1
"1113",50,7,1
"1114",18,7,0
"1115",44,7,0
"1116",45,7,0
"1117",50,7,1
"1118",50,7,1
"1119",17,7,0
"1120",50,7,1
"1121",50,7,1
"1122",50,7,1
"1123",43,7,0
"1124",62,19,0
"1125",62,19,1
"1126",62,19,1
"1127",59,19,0
"1128",62,19,1
"1129",35,19,0
"1130",55,18,0
"1131",23,19,0
"1132",62,19,1
"1133",62,19,0
"1134",38,18,0
"1135",61,18,1
"1136",48,18,0
"1137",42,18,0
"1138",61,18,1
"1139",53,18,0
"1140",61,18,1
"1141",61,18,1
"1142",61,18,1
"1143",41,18,0
"1144",61,18,1
"1145",39,18,0
"1146",43,18,0
"1147",61,18,1
"1148",29,16,0
"1149",59,16,1
"1150",59,16,1
"1151",59,16,1
"1152",21,16,0
"1153",52,16,0
"1154",46,16,0
"1155",59,16,1
"1156",59,16,1
"1157",46,16,0
"1158",28,16,0
"1159",59,16,1
"1160",56,16,0
"1161",51,16,0
"1162",27,16,0
